name,raw_name,producer,producer_confidence,year,region,price,original_price,type,castas,alcohol_content,description,url,image_url,store_sku,not_available,garrafeira_source,scraped_at
ROLA TOURIGA NACIONAL TINTO,Rola Touriga Nacional Tinto 2020,QUINTA DE REMOSTIAS,100,2020,DOURO,"25,65",,TINTO,,,,https://www.portugalvineyards.com/pt/douro/24720-rola-touriga-nacional-red-2020-5600729887088.html,https://www.portugalvineyards.com/112869-home_default/rola-touriga-nacional-red-2020.jpg,,False,Portugal Vineyards,2025-10-13T15:13:35.262919
ROLA VINHA DAS MARIAS TINTO,Rola Vinha das Marias Tinto 2019,QUINTA DE REMOSTIAS,100,2019,DOURO,"39,75",,TINTO,,,,https://www.portugalvineyards.com/pt/douro/24718-rola-vinha-das-marias-red-2019-5600729887095.html,https://www.portugalvineyards.com/112865-home_default/rola-vinha-das-marias-red-2019.jpg,,False,Portugal Vineyards,2025-10-13T15:13:35.263060
ROLA VIOSINHO BRANCO,Rola Viosinho Branco 2022,QUINTA DE REMOSTIAS,100,2022,DOURO,"19,25",,BRANCO,,,,https://www.portugalvineyards.com/pt/douro/24725-rola-viosinho-white-2022.html,https://www.portugalvineyards.com/112875-home_default/rola-viosinho-white-2022.jpg,,False,Portugal Vineyards,2025-10-13T15:13:35.263201
QUINTA DE PANCAS CABERNET SAUVIGNON RESERVA TINTO,Quinta de Pancas Cabernet Sauvignon Reserva Tinto 2022,QUINTA DE PANCAS,100,2022,LISBOA,"12,15","14,85",TINTO,,,,https://www.portugalvineyards.com/pt/lisboa/23616-quinta-de-pancas-cabernet-sauvignon-red-2022-5600883660107.html,https://www.portugalvineyards.com/111554-home_default/quinta-de-pancas-cabernet-sauvignon-red-2022.jpg,,False,Portugal Vineyards,2025-10-13T15:13:38.061513
QUINTA DE PANCAS CHARDONNAY RESERVA BRANCO,Quinta de Pancas Chardonnay Reserva Branco 2019,QUINTA DE PANCAS,100,2019,LISBOA,"12,15","14,85",BRANCO,,,,https://www.portugalvineyards.com/pt/lisboa/23613-quinta-de-pancas-chardonnay-reserve-white-2019-5600228987166.html,https://www.portugalvineyards.com/109566-home_default/quinta-de-pancas-chardonnay-reserve-white-2019.jpg,,False,Portugal Vineyards,2025-10-13T15:13:38.062533
QUINTA DE PANCAS GRANDE RESERVA TINTO,Quinta de Pancas Grande Reserva Tinto 2017,QUINTA DE PANCAS,100,2017,LISBOA,"19,85",,TINTO,,,,https://www.portugalvineyards.com/pt/lisboa/23610-quinta-de-pancas-grand-reserve-red-2017-5600228987081.html,https://www.portugalvineyards.com/109560-home_default/quinta-de-pancas-grand-reserve-red-2017.jpg,,False,Portugal Vineyards,2025-10-13T15:13:38.062682
QUINTA DE PANCAS PREMIUM TINTO,Quinta de Pancas Premium Tinto 2003,QUINTA DE PANCAS,100,2003,LISBOA,"61,15",,TINTO,,,,https://www.portugalvineyards.com/pt/lisboa/19322-quinta-de-pancas-premium-red-2003-5602166010289.html,https://www.portugalvineyards.com/103158-home_default/quinta-de-pancas-premium-red-2003.jpg,,False,Portugal Vineyards,2025-10-13T15:13:38.062810
QUINTA DE PANCAS RESERVA BRANCO,Quinta de Pancas Reserva Branco 2023,QUINTA DE PANCAS,100,2023,LISBOA,"8,25",,BRANCO,,,,https://www.portugalvineyards.com/pt/lisboa/23614-quinta-de-pancas-reserve-white-2023-5600883660015.html,https://www.portugalvineyards.com/118668-home_default/quinta-de-pancas-reserve-white-2023.jpg,,False,Portugal Vineyards,2025-10-13T15:13:38.062934
QUINTA DE PANCAS RESERVA ROSÉ,Quinta de Pancas Reserva Rosé 2023,QUINTA DE PANCAS,100,2023,LISBOA,"8,25",,ROSÉ,,,,https://www.portugalvineyards.com/pt/lisboa/23615-quinta-de-pancas-reserve-rose-2023-5600883660022.html,https://www.portugalvineyards.com/116641-home_default/quinta-de-pancas-reserve-rose-2023.jpg,,False,Portugal Vineyards,2025-10-13T15:13:38.063055
QUINTA DE PANCAS RESERVA TINTO,Quinta de Pancas Reserva Tinto 2022,QUINTA DE PANCAS,100,2022,LISBOA,"8,25",,TINTO,,,,https://www.portugalvineyards.com/pt/lisboa/23609-quinta-de-pancas-reserve-red-2018-5600883660206.html,https://www.portugalvineyards.com/111550-home_default/quinta-de-pancas-reserve-red-2018.jpg,,False,Portugal Vineyards,2025-10-13T15:13:38.063177
QUINTA DE PANCAS SPECIAL SELECTION CABERNET SAUVIGNON,Quinta de Pancas Special Selection Cabernet Sauvignon...,QUINTA DE PANCAS,100,,LISBOA,"37,25",,TINTO,,,,https://www.portugalvineyards.com/pt/lisboa/23611-quinta-de-pancas-special-selection-cabernet-sauvignon-red-2019-5600228987098.html,https://www.portugalvineyards.com/109562-home_default/quinta-de-pancas-special-selection-cabernet-sauvignon-red-2019.jpg,,False,Portugal Vineyards,2025-10-13T15:13:38.063294
QUINTA DE PANCAS SPECIAL SELECTION MERLOT TINTO,Quinta de Pancas Special Selection Merlot Tinto 2020,QUINTA DE PANCAS,100,2020,LISBOA,"37,25",,TINTO,,,,https://www.portugalvineyards.com/pt/lisboa/23612-quinta-de-pancas-special-selection-merlot-red-2020-5600228987159.html,https://www.portugalvineyards.com/109564-home_default/quinta-de-pancas-special-selection-merlot-red-2020.jpg,,False,Portugal Vineyards,2025-10-13T15:13:38.063472
QUINTA DE MONFORTE ALVARINHO BRANCO,Quinta de Monforte Alvarinho Branco 2022,QUINTA DE MONFORTE,100,2022,VINHOS VERDES,"15,45",,BRANCO,,,,https://www.portugalvineyards.com/pt/vinho-verde/23617-quinta-de-monforte-alvarinho-white-2021-5600741493106.html,https://www.portugalvineyards.com/120447-home_default/quinta-de-monforte-alvarinho-white-2021.jpg,,False,Portugal Vineyards,2025-10-13T15:13:39.436901
QUINTA DE MONFORTE ALVARINHO RESERVA BRANCO,Quinta de Monforte Alvarinho Reserva Branco 2021,QUINTA DE MONFORTE,100,2021,VINHOS VERDES,"44,25",,BRANCO,,,,https://www.portugalvineyards.com/pt/vinho-verde/23624-quinta-de-monforte-alvarinho-reserve-white-2021.html,https://www.portugalvineyards.com/109469-home_default/quinta-de-monforte-alvarinho-reserve-white-2021.jpg,,False,Portugal Vineyards,2025-10-13T15:13:39.443934
QUINTA DE MONFORTE AZAL SUPERIOR BRANCO,Quinta de Monforte Azal Superior Branco 2021,QUINTA DE MONFORTE,100,2021,VINHOS VERDES,"29,25",,BRANCO,,,,https://www.portugalvineyards.com/pt/vinho-verde/23622-quinta-de-monforte-azal-superior-white-2021.html,https://www.portugalvineyards.com/109467-home_default/quinta-de-monforte-azal-superior-white-2021.jpg,,False,Portugal Vineyards,2025-10-13T15:13:39.444115
QUINTA DE MONFORTE COLHEITA BRANCO,Quinta de Monforte Colheita Selecionada Branco 2022,QUINTA DE MONFORTE,100,2022,VINHOS VERDES,"12,55",,BRANCO,,,,https://www.portugalvineyards.com/pt/vinho-verde/23625-quinta-de-monforte-selected-harvest-white-2022.html,https://www.portugalvineyards.com/109470-home_default/quinta-de-monforte-selected-harvest-white-2022.jpg,,False,Portugal Vineyards,2025-10-13T15:13:39.444245
QUINTA DE MONFORTE ESCOLHA BRANCO,Quinta de Monforte Escolha Branco 2023,QUINTA DE MONFORTE,100,2023,VINHOS VERDES,"9,95",,BRANCO,,,,https://www.portugalvineyards.com/pt/vinho-verde/23618-quinta-de-monforte-escolha-white-2020-5600741493007.html,https://www.portugalvineyards.com/120449-home_default/quinta-de-monforte-escolha-white-2020.jpg,,False,Portugal Vineyards,2025-10-13T15:13:39.444370
