name,raw_name,producer,producer_confidence,year,region,price,original_price,type,castas,alcohol_content,description,url,image_url,store_sku,not_available,garrafeira_source,scraped_at
MAREL ILUSTRE BRANCO, 2023 Marel Ilustre branco,ADEGA MAREL,100,2023,ALENTEJO,"16,95",,BRANCO,,12,,https://www.garrafeiranacional.com/vinho/2023-marel-ilustre-branco.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6013631-0.jpg,6013631,False,Garrafeira Nacional,2025-10-13T11:58:42.681733
MAREL BRANCO, 2024 Marel branco,ADEGA MAREL,100,2024,ALENTEJO,"8,95",,BRANCO,,"12,5",,https://www.garrafeiranacional.com/vinho/2024-marel-branco.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6013630-0.jpg,6013630,False,Garrafeira Nacional,2025-10-13T11:58:42.681887
INVISÍVEL ARAGONEZ BRANCO, 2024 Invisível Aragonez branco,ERVIDEIRA,100,2024,ALENTEJO,"13,95",,BRANCO,,"12,5",,https://www.garrafeiranacional.com/vinho/2024-invisivel-aragones-branco.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6013628-0.jpg,6013628,False,Garrafeira Nacional,2025-10-13T11:58:47.728073
VINHA D'ERVIDEIRA BRANCO, 2023 Vinha D'Ervideira branco,ERVIDEIRA,100,2023,ALENTEJO,"9,95",,BRANCO,,"13,5",,https://www.garrafeiranacional.com/vinho/2023-vinha-d-ervideira-branco-6013627.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6013627-0.jpg,6013627,False,Garrafeira Nacional,2025-10-13T11:58:47.739047
LEGADO TINTO, 2008 Legado tinto,SOGRAPE VINHOS,100,2008,DOURO,549,,TINTO,,14,,https://www.garrafeiranacional.com/vinho/2008-legado-tinto.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6064503-0.jpg,6064503,False,Garrafeira Nacional,2025-10-13T11:58:47.739258
QUINTA DO MONTE D'OIRO BIOLÓGICO RESERVA ROSÉ, 2022 Quinta do Monte d'Oiro Reserva biológico rosé,JOSÉ BENTO DOS SANTOS,100,2022,LISBOA,"25,95",,ROSÉ,,12,,https://www.garrafeiranacional.com/vinho/2022-quinta-do-monte-d-oiro-reserva-biologico-rose.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6073381-0.jpg,6073381,False,Garrafeira Nacional,2025-10-13T11:58:47.739452
QUINTA DO MONTE D'OIRO BIOLÓGICO ROSÉ, 2023 Quinta do Monte d'Oiro biológico rosé,JOSÉ BENTO DOS SANTOS,100,2023,LISBOA,"10,95",,ROSÉ,,12,,https://www.garrafeiranacional.com/vinho/2023-quinta-do-monte-d-oiro-biologico-rose.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6073379-0.jpg,6073379,False,Garrafeira Nacional,2025-10-13T11:58:47.739596
ALTAS QUINTAS VIÚVA LE COCQ RESERVA TINTO, 2021 Altas Quintas Viúva Le Cocq Reserva tinto,ALTAS QUINTAS,100,2021,ALENTEJO,"29,95",,TINTO,,15,,https://www.garrafeiranacional.com/vinho/2021-altas-quintas-viuva-le-cocq-reserva-tinto.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6013577-0.jpg,6013577,False,Garrafeira Nacional,2025-10-13T11:58:47.739726
CRASTO TINTO, 2022 Crasto tinto,QUINTA DO CRASTO,100,2022,DOURO,"11,45",,TINTO,,13,,https://www.garrafeiranacional.com/vinho/2022-crasto-tinto.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6064407-0.jpg,6064407,False,Garrafeira Nacional,2025-10-13T11:58:47.739849
CASA DA PASSARELLA O FUGITIVO VINHA CENTENÁRIA TINTO, 2019 Casa da Passarella O Fugitivo Vinha Centenária tinto,CASA DA PASSARELLA,100,2019,DÃO,"31,95",,TINTO,,13,,https://www.garrafeiranacional.com/vinho/2019-casa-da-passarella-o-fugitivo-vinha-centenaria-tinto.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6042631-0.jpg,6042631,False,Garrafeira Nacional,2025-10-13T11:58:47.750911
CASA DE CANHOTOS SUBLIME BRUTO ESPUMANTE, 2023 Espumante Casa de Canhotos Sublime Bruto,CASA DE CANHOTOS,100,2023,VINHO VERDE,"19,95",,ESPUMANTE,,12,,https://www.garrafeiranacional.com/vinho/2023-espumante-casa-de-canhotos-sublime-bruto.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/9/1/9100753-0.jpg,9100753,False,Garrafeira Nacional,2025-10-13T11:58:47.751125
LOBO DE VASCONCELLOS LV RESERVA BRANCO, 2022 Lobo de Vasconcellos LV Reserva branco,LOBO DE VASCONCELLOS WINES,100,2022,ALENTEJO,"27,95",,BRANCO,,"12,5",,https://www.garrafeiranacional.com/vinho/2022-lobo-de-vasconcellos-lv-reserva-branco.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6013606-0.jpg,6013606,False,Garrafeira Nacional,2025-10-13T11:58:47.751261
LOBO DE VASCONCELLOS LV BRANCO, 2023 Lobo de Vasconcellos LV branco,LOBO DE VASCONCELLOS WINES,100,2023,ALENTEJO,"10,9",,BRANCO,,12,,https://www.garrafeiranacional.com/vinho/2023-lobo-de-vasconcellos-lv-branco.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6013604-0.jpg,6013604,False,Garrafeira Nacional,2025-10-13T11:58:47.751386
QUINTA DOS TERMOS VINHA DAS COLMEIAS ALFROCHEIRO RESERVA TINTO, 2022 Quinta dos Termos Vinha das Colmeias Alfrocheiro Reserva tinto,QUINTA DOS TERMOS,100,2022,BEIRA INTERIOR,"14,95",,TINTO,,"13,5",,https://www.garrafeiranacional.com/vinho/2022-quinta-dos-termos-vinha-das-colmeias-alfrocheiro-reserva-tinto.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/4/6420272-0.jpg,6420272,False,Garrafeira Nacional,2025-10-13T11:58:47.751521
NIEPOORT CHARME TINTO, 2023 Niepoort Charme tinto,NIEPOORT,100,2023,DOURO,"64,95",,TINTO,,"13,5",,https://www.garrafeiranacional.com/vinho/2023-niepoort-charme-tinto.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6064482-0.jpg,6064482,False,Garrafeira Nacional,2025-10-13T11:58:47.751642
CAMINHO JAEN TINTO, 2023 Caminho Jaen tinto,CAS'AMARO,100,2023,DÃO,"11,4",,TINTO,,13,,https://www.garrafeiranacional.com/vinho/2023-caminho-jaen-tinto.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6042626-0.jpg,6042626,False,Garrafeira Nacional,2025-10-13T11:58:47.763726
CARTUXA TINTO, 2021 Cartuxa tinto,FUNDAÇÃO EUGÉNIO DE ALMEIDA,100,2021,ALENTEJO,"21,95",,TINTO,,"14,5",,https://www.garrafeiranacional.com/vinho/2021-cartuxa-tinto.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6013589-0.jpg,6013589,False,Garrafeira Nacional,2025-10-13T11:58:47.763892
CARTUXA BRANCO, 2023 Cartuxa branco,FUNDAÇÃO EUGÉNIO DE ALMEIDA,100,2023,ALENTEJO,"17,95",,BRANCO,,13,,https://www.garrafeiranacional.com/vinho/2023-cartuxa-branco.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6013588-0.jpg,6013588,False,Garrafeira Nacional,2025-10-13T11:58:47.764044
CLARETE DONA SANCHA VINHA DA AVARENTA TINTO, 2023 Clarete Dona Sancha Vinha da Avarenta,QUINTA DONA SANCHA,100,2023,DÃO,"16,95",,TINTO,,"13,5",,https://www.garrafeiranacional.com/vinho/2023-clarete-dona-sancha-vinha-da-avarenta.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6042624-0.jpg,6042624,False,Garrafeira Nacional,2025-10-13T11:58:47.764171
QUINTA DE SAN JOANNE TERROIR MINERAL BRANCO, 2022 Quinta de San Joanne Terroir Mineral branco,CASA DE CELLO,100,2022,VINHO VERDE,"9,95",,BRANCO,,"12,5",,https://www.garrafeiranacional.com/vinho/2022-quinta-de-san-joanne-terroir-mineral-branco.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6080930-0.jpg,6080930,False,Garrafeira Nacional,2025-10-13T11:58:47.764311
MOITA BRAVA BRANCO, 2022 Moita Brava branco,SOCIEDADE AGRÍCOLA QUINTA DA LAMEIRA,100,2022,VINHO VERDE,"6,15",,BRANCO,,"12,5",,https://www.garrafeiranacional.com/vinho/2022-moita-brava-branco.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6080924-0.jpg,6080924,False,Garrafeira Nacional,2025-10-13T11:58:47.764431
