name,raw_name,producer,producer_confidence,year,region,price,original_price,type,castas,alcohol_content,description,url,image_url,store_sku,not_available,garrafeira_source,scraped_at
ALIANCA DANUBIO M/SECO ESPUMANTE,Espumante Alianca Danubio M/Seco 75 Cl,ALIANÇA,100,0,BAIRRADA,"4,99",,ESPUMANTE,"Maria Gomes, Bical, Arinto, Baga.","12,5","Aliando a frescura e elegância das Castas Bical, Cercial, Arinto e Maria Gomes à complexidade e persistência do vinho branco da Casta Baga, e conjugando este precioso 'blend' com respeito pela tradição do processo clássico, criamos este espumante de bolha fina, aroma frutado e acidez equilibrada.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/espumante-alianca-danubio-mseco-75-cl/item_1109.html?id=215&cat=254&pc=5,https://www.garrafeirasoares.pt/temp/1619112437_9e5d8b4bee4676f4edd188f400bd2c71.jpg,18004,False,Garrafeira Soares,2025-10-13T19:37:15.691890
ALVARINHO J P RAMOS RESERVA ESPUMANTE,Espumante Alvarinho J.P. Ramos Reserva 75 Cl,JOÃO PORTUGAL RAMOS,100,0,VINHOS VERDES,"24,95",,ESPUMANTE,Alvarinho,12,,https://www.garrafeirasoares.pt/pt/portugal/vinhos/espumante-alvarinho-j.p.-ramos-reserva-75-cl/item_58604.html?id=215&cat=254&pc=5,https://www.garrafeirasoares.pt/temp/1563812025_f5d84af2b2bc16174ec55541851651a1.jpg,18088,False,Garrafeira Soares,2025-10-13T19:37:15.692016
BELISSIMO BRUTO ESPUMANTE,Espumante Belissimo Bruto 75 Cl,CASA SANTOS LIMA,100,0,LISBOA,"11,95",,ESPUMANTE,Arinto,"12,5","A Casa Santos Lima é uma empresa familiar que se dedica à produção, engarrafamento e comercialização de vinhos portugueses. Trabalha nas regiões de Lisboa, Algarve, Alentejo, Douro e Vinhos Verdes. A empresa produz vinhos conhecidos pela sua excelente relação qualidade/preço e exporta cerca de 90% da sua produção total para mais de 50 países nos 5 continentes.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/espumante-belissimo-bruto-75-cl/item_56387.html?id=215&cat=254&pc=5,https://www.garrafeirasoares.pt/temp/1675700890_26950e41b9161efb088705be639578b8.jpg,18230,False,Garrafeira Soares,2025-10-13T19:37:15.692152
CONDE VILLAR ESPUMANTE,Espumante Conde Villar 75 Cl,QUINTA DAS ARCAS,100,0,VINHOS VERDES,"8,95",,ESPUMANTE,Baga,12,Sem maceração e com temperatura controlada. Espumante produzido através do Método Clássico. A base de vinho é engarrafado e selado com levedura para produzir a segunda fermentação.,https://www.garrafeirasoares.pt/pt/portugal/vinhos/espumante-conde-villar-75-cl/item_56478.html?id=215&cat=254&pc=5,https://www.garrafeirasoares.pt/temp/1690979524_f57861eda89ce3fd510d0e04f17c92ae.jpg,18330,False,Garrafeira Soares,2025-10-13T19:37:15.692276
MUROS ANTIGOS ESPUMANTE,Espumante Espumante Muros Antigos 75 Cl,ANSELMO MENDES VINHOS,100,0,VINHOS VERDES,"15,95",,ESPUMANTE,Alvarinho,12,".Antigos Alvarelhão é um vinho espumante blanc de noir obtido a partir da casta Alvarelhão.  São selecionadas as melhores parcelas desta casta e a vindima destas parcelas é precoce para a obtenção de uvas com um excelente equilíbrio entre uma acidez fresca e níveis de açúcar mais baixos, essenciais para a obtenção de um vinho base espumante de grande qualidade.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/espumante-espumante-muros-antigos-75-cl/item_56509.html?id=215&cat=254&pc=5,https://www.garrafeirasoares.pt/temp/1717692320_f77be4cd7f48c683f01aaf9b05697523.jpg,18201,False,Garrafeira Soares,2025-10-13T19:37:15.692475
ALTANO TINTO,Vinho Tinto Altano 75 Cl,SYMINGTON FAMILY ESTATES,100,0,DOURO,"4,75",,TINTO,"Touriga Franca, Tinta Roriz, Tinta Barroca","13,8","O Altano Tinto é produzido a partir de uvas das castas tradicionais do Douro, provenientes das vinhas da família Symington localizadas em vários pontos do vale do Douro, principalmente nas sub-regiões do Cima Corgo e do Douro Superior.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-altano-75-cl/item_10268.html?id=202&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1619112452_9cc71c8d0e64c4682c64b90d6c9ed87c.jpg,2050001,False,Garrafeira Soares,2025-10-13T19:37:18.013068
CEF SYRAH TINTO,Vinho Tinto Cef Syrah 75 Cl,CASA ERMELINDA FREITAS,100,0,SETÚBAL,"9,95",,TINTO,Syrah,"14,5","Fermentação em cubas-lagares de inox com temperatura controlada, e maceração pelicular prolongada. Estágio de 12 meses em meias pipas de carvalho americano e francês.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-cef-syrah-75-cl/item_10190.html?id=202&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1622651935_47b96e7136ad8231d10f742c01d4126b.jpg,2030371,False,Garrafeira Soares,2025-10-13T19:37:18.013278
PERIQUITA RESERVA TINTO,Vinho Tinto Periquita Reserva 75 Cl,JOSÉ MARIA DA FONSECA,100,0,SETÚBAL,"7,16","7,95",TINTO,"Castelão, Touriga Nacional, Touriga Francesa",13,"O Periquita Reserva é um lote entre a verdadeira tradição do Periquita e uma visão para o futuro.<br><br>A história do Periquita remonta ao início da própria história da José Maria da Fonseca, quando o fundador da empresa, o Senhor José Maria da Fonseca comprou, por volta de 1846, a propriedade Cova da Periquita. Foi nessa propriedade, hoje em dia quase engolida pelo desenvolvimento urbano, que José Maria da Fonseca plantou as primeiras uvas da casta Castelão, que ele próprio havia trazido da pr...",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-periquita-reserva-75-cl/item_10170.html?id=202&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1636388408_4fb1d7c8b834185914ded147eb98de79.jpg,2030030,False,Garrafeira Soares,2025-10-13T19:37:18.013415
FAMILIA MARGAÇA RESERVA TINTO,Vinho Tinto Familia Margaça Reserva 75 Cl,FAMÍLIA MARGAÇA,100,0,ALENTEJO,"10,16","11,95",TINTO,"Aragonês, Petit Verdot, Sousão",14,"Colheita manual, vinificação em Inox com temperatura controlada. Estágio de 12 meses em barricas de carvalho francês.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-familia-margaca-reserva-75-cl/item_10098.html?id=202&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1619112447_f16456904d6bb74d26ef7a6c794b8084.jpg,2016641,False,Garrafeira Soares,2025-10-13T19:37:18.013554
FAMILIA MARGACA TALHAO 02 SOUSAO TINTO,Vinho Tinto Familia Margaca Talhao 02 Sousao 75 Cl,FAMÍLIA MARGAÇA,100,2020,ALENTEJO,"27,95",,TINTO,Touriga Nacional,14,,https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-familia-margaca-talhao-02-sousao-75-cl/item_106723.html?id=202&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1729183624_ce31bca68b8c175b2d62ef1bf0ac9f80.jpg,2016674,False,Garrafeira Soares,2025-10-13T19:37:18.013682
FONTE DAS SETAS TINTO,Vinho Tinto Fonte das Setas 75 Cl,QUINTA SÃO SEBASTIÃO,100,0,LISBOA,"3,49",,TINTO,"Touriga Nacional, Syrah, Alicante Bouschet",13,"Vinhas maioritariamente de encosta ao alto. Curtimenta clássica, com fermentação a 25ºC e maceração suave.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-fonte-das-setas-75-cl/item_13116.html?id=202&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1646907231_09526d95e0148ea290a03d51545281e8.jpg,2034601,False,Garrafeira Soares,2025-10-13T19:37:18.016502
ESPORAO BIOLOGICO COLHEITA BRANCO,Vinho Branco Esporao Colheita Biologico 75 Cl,ESPORÃO,100,0,ALENTEJO,"8,25",,BRANCO,"Verdelho, Alvarinho, Viosinho, Arinto, Gouveio",13,"Vinho produzido exclusivamente de uvas cultivadas na Herdade do Esporão, seguindo práticas de agricultura biológica, que expressa a tipicidade do ano da colheita, diversidade de solos onde as vinhas estão plantadas e carácter e identidade das catas selecionadas.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-esporao-colheita-biologico-75-cl/item_10563.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1729500619_8f8e22c6635025b2c68aee72a7b17ecd.jpg,2213021,False,Garrafeira Soares,2025-10-13T19:37:19.433004
MALHADINHA BIOLOGICO BRANCO,Vinho Branco Malhadinha 2023 Biologico 75 Cl,HERDADE DA MALHADINHA NOVA,100,2023,ALENTEJO,30,,BRANCO,"Arinto, Alvarinho, Viosinho, Viognier, Chardonnay","13,5","A Herdade da Malhadinha Nova nasceu de um sonho... o sonho de produzir um grande vinho, de produzir o melhor vinho do mundo.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-malhadinha-2023-biologico-75-cl/item_106789.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1739626762_fba13ee6adeca0d4339e7f9b8997c4fd.jpg,2229130,False,Garrafeira Soares,2025-10-13T19:37:19.433210
